Time,Num Task Set,Num Tasks,Time running,Cpu utilization
237,200,15000,14930.8,0.00202607
238,200,15000,14922.4,0.00202607
239,200,15000,14900.7,0.00202607
240,200,15000,14888.6,0.00202607
241,200,15000,14881.4,0.00202607
242,200,15000,14874.1,0.00202607
243,200,15000,14921.7,0.00202607
244,200,15000,14858.1,0.00202607
245,200,15000,14863.7,0.00202607
246,200,15000,15181.7,0.00202607
247,200,15000,15245.1,0.00202607
248,200,15000,15240.9,0.00202607
249,200,15000,15131,0.00202607
250,200,15000,14881.1,0.00202607
251,200,15000,14916.6,0.00202607
252,200,15000,14888.9,0.00202607
253,200,15000,14908.9,0.00202607
254,200,15000,14840.9,0.00202607
255,200,15000,14892.8,0.00202607
256,200,15000,14874,0.00202607
257,200,15000,14894.6,0.00202607
258,200,15000,14883.7,0.00202607
259,200,15000,14869.3,0.00202607
260,200,15000,14846.7,0.00202607
261,200,15000,14870.1,0.00202607
262,200,15000,15180.5,0.00202607
263,200,15000,15230.8,0.00202607
264,200,15000,15244.2,0.00202607
265,200,15000,15149.8,0.00202607
266,200,15000,14897.9,0.00202607
267,200,15000,14900.9,0.00202607
268,200,15000,14872.8,0.00202607
269,200,15000,15053.7,0.00202607
270,200,15000,15024.7,0.00202607
271,200,15000,14983.1,0.00202607
272,200,15000,14959.7,0.00202607
273,200,15000,14998.3,0.00202607
274,200,15000,14953.6,0.00202607
275,200,15000,14949.3,0.00202607
276,200,15000,14952.4,0.00202607
277,200,15000,14956.5,0.00202607
278,200,15000,15290.3,0.00202607
279,200,15000,15297.8,0.00202607
280,200,15000,15274.3,0.00202607
281,200,15000,15038.7,0.00202607
282,200,15000,14940.9,0.00202607
283,200,15000,14882.5,0.00202607
284,200,15000,14924.2,0.00202607
285,200,15000,14892.4,0.00202607
286,200,15000,14898.7,0.00202607
287,200,15000,14941.2,0.00202607
288,200,15000,14848.9,0.00202607
289,200,15000,14896.7,0.00202607
290,200,15000,14929.8,0.00202607
291,200,15000,14877.6,0.00202607
292,200,15000,14905.9,0.00202607
293,200,15000,15100.4,0.00202607
294,200,15000,15275.6,0.00202607
295,200,15000,15269.1,0.00202607
296,200,15000,15291.4,0.00202607
297,200,15000,14940,0.00202607
298,200,15000,14972.8,0.00202607
299,200,15000,14885.8,0.00202607
300,200,15000,14903.7,0.00202607
301,200,15000,14885,0.00202607
302,200,15000,14899.8,0.00202607
303,200,15000,14935.8,0.00202607
304,200,15000,14888,0.00202607
305,200,15000,14913.6,0.00202607
306,200,15000,14889.3,0.00202607
307,200,15000,14909.3,0.00202607
308,200,15000,14853,0.00202607
309,200,15000,14999.8,0.00202607
310,200,15000,15053,0.00202607
311,200,15000,14989.5,0.00202607
312,200,15000,14965.6,0.00202607
313,200,15000,14973.9,0.00202607
314,200,15000,14967,0.00202607
315,200,15000,14933.8,0.00202607
316,200,15000,14945.5,0.00202607
317,200,15000,14924,0.00202607
318,200,15000,14905.1,0.00202607
319,200,15000,14920.5,0.00202607
320,200,15000,15103.9,0.00202607
321,200,15000,15236.8,0.00202607
322,200,15000,15221.3,0.00202607
323,200,15000,15243.8,0.00202607
324,200,15000,14905.2,0.00202607
325,200,15000,14894.9,0.00202607
326,200,15000,14918.5,0.00202607
327,200,15000,14902.9,0.00202607
328,200,15000,14937.4,0.00202607
329,200,15000,14935.1,0.00202607
330,200,15000,14887.1,0.00202607
331,200,15000,14920.1,0.00202607
332,200,15000,15004.2,0.00202607
333,200,15000,14865.9,0.00202607
334,200,15000,14931.8,0.00202607
335,200,15000,14904.2,0.00202607
336,200,15000,15062.5,0.00202607
337,200,15000,15182.5,0.00202607
338,200,15000,15240.9,0.00202607
339,200,15000,15257.7,0.00202607
340,200,15000,14915.4,0.00202607
341,200,15000,14909.8,0.00202607
342,200,15000,14902.3,0.00202607
343,200,15000,14858.7,0.00202607
344,200,15000,14887.5,0.00202607
345,200,15000,14913,0.00202607
346,200,15000,14873.3,0.00202607
347,200,15000,14857,0.00202607
348,200,15000,14885.4,0.00202607
349,200,15000,14854.1,0.00202607
350,200,15000,14884.8,0.00202607
351,200,15000,14897,0.00202607
352,200,15000,15168.1,0.00202607
353,200,15000,15164.4,0.00202607
354,200,15000,15231.7,0.00202607
355,200,15000,15145.6,0.00202607
356,200,15000,14901.7,0.00202607
357,200,15000,14865.5,0.00202607
358,200,15000,14839.2,0.00202607
359,200,15000,14906.7,0.00202607
360,200,15000,14907.3,0.00202607
